Παλαιά Ονομασία,Παραλλαγή Παλαιάς Ονομασίας,Νέα Ονομασία,Παραλλαγή Νέας Ονομασίας,Γεωγραφικό Διαμέρισμα,Νομός,Επαρχία,Φ.Ε.Κ.,Σχόλια,Latitude,Longitude
Γενή κιοϊ,,Γενετή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Γιαμπατζικλή,,Γιάμπολη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Καρά Μπουνάρ,,Γλυκονέριον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Βαλδιράν,,Γλυκά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1025427,25.761764
Νουκσατλή,,Γλυφάδα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9775088,25.2302276
Ιρντζιάν Χισσάρ,,Γρατηνή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Δερμέν Δερέ,,Δαρμένη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1433815,25.6817355
Διληνάς κιοϊ,,Δειλινά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1113715,25.6529732
Καρά Αγάτς,,Διώνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9797162,25.562828
Μπαλαμπάν κιοϊ,,Διαλαμπή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0904206,25.1491089
Τομπρούκ κιοϊ,,Δοκός,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1383509,25.596983
Δουνταρλή,,Δροσιά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1641325,25.6371474
Κάρ Δερέ,,Δρίμη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κοζλού Δερέ,,Δρακιά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Σεντελή,,Δύμη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1692104,25.3782961
Εβρέν κιοϊ,,Έβρενον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Γιαρδεμλή,,Εργάνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9939941,25.4437514
Εσίκ Δερέ,,Εσοχή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2348553,25.7723757
Ισικλάρ,,Ήπιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Εσέκ Τσελί,,Θάμνα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1624686,25.3595029
Γιασή Ουμπέκ,,Ιάσιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Ιμαρέτ Τσιφλίκ,,Ίμερος,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9578671,25.369905
Ουσαλή,,Ίσαλον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Γιασή Αδά Τσιφλίκ,,Ισμαρίς,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Καλιντέρ κιοϊ,,Καλλυντήριον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Γενή κιοϊ,,Καλλίστη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),→ Νέα Καλλίστη,41.0553402,25.2275396
Κουζλού κιοϊ,,Καρυδιά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1452096,25.4369841
Κάλφα,,Κάλχας,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1407262,25.4647758
Κιουτσούκ Διράν,,Κάτω Δροσίνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2263527,25.5976925
Κοζ Βιράν,,Κάτω Βυρσίνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2112391,25.6732394
Γκερδεμέ,,Καρδαμός,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2797673,25.6253232
Καλατζή Δερέ,,Κασσιτεράς,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Καργαλή Σάρτζα,,Καλαμόκαστρον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Τσουτσού κιοϊ,,Κηκίδιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κιζλάρ,,Κίζαρι,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0621444,25.7674481
Τασκινλάρ,,Κίνυρα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1073711,25.7164883
Γκιουβανλήκ,,Κόβαλον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κιουτσιούκ κιοϊ,,Κόσμιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Καρά Κουρτζαλή,,Κρωβύλη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9498447,25.564158
Κεζ Βιράν,,Κύμη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.3041911,25.6703196
Σουγκουρλού,,Κρανοβούνιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Σαδή κιοϊ,,Λαμπρόν,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κιουπλού,,Ληνός,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1325476,25.2578645
Λεφετζηλέρ,,Λοφάριον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κουρτζαλή,,Λύκιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Ανά κιοϊ,,Μητρικόν,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Καρά Γκιοζλού,,Μαυρομάτιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κιρ Σαρτζά,,Μεσούνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Μελεκλή,,Μελέτης,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Αδά Δερέ,,Μεγάλη Άδα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2342251,25.5352481
Μισέ Αλή,,Μέσα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Μουσελήμ,,Μέγα Πιστόν,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Μπουγιούκ Δογαντζή,,Μέγα Δουκάτον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κιουτσιούκ Δογαντζή,,Μικρόν Δουκάτον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Τσιπελή,,Μίσχος,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1533785,25.3185098
Μουσελήμ,,Μικρό Πιστόν,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Αδά Ουρέν,,Μικρά Άδα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2246777,25.374319181496396
Κιουρτσούκ Σικερλή,,Μικροξύδιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Μουρατλή,,Μοίρανον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Αραλή Μπουρούν,,Μύτικας,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2491572,25.4849762
Μουσατζήκ,,Μυρτίσκη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2784829,25.7785354
Μπουγιουκλού,,Μύστακας,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0813868,25.6474394
Καρά Μουσά,,Μωσαϊκόν,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Σινίρ Δερέ,,Νεύρα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.12649,25.6485463
Τούρ Χασανλάρ,,Νέδα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.077003,25.7953545
Ούτς Γκαζή,,Νικηταί,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Πανί κιοϊ,,Νυμφαία,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.221781,25.4525861
Κουσλανλή,,Ξυλαγανή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9742864,25.4215432
Μπουγιούκ Σικερλή,,Ξύδια,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),→ Φιλλύρα,39.0,22.0
Εμούρ κιοϊ,,Ομηρικόν,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Χεμετλή,,Οργάνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.252682,25.6841591
Ιαζίς κιοϊ,,Οχυρόν,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Παγιαμλή Δερέ,,Πατερμά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2019228,25.5171118
Φατήρ Γιακά,,Πατρικά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Παλαζλή,,Παλάδιον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Αμπάρ κιοϊ,,Πάμφορον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Δερέ κιοϊ,,Πάνδροσος,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1766266,25.4420719
Μπασετλή,,Πάσσος,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0964667,25.5839558
Μπαγιατλή,,Παγούρια,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0290783,25.3184419
Μουχάν Τσιφλίκ,,Παραδημώ,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Τασλήκ,,Πετρωτά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9003465,25.6082958
Δενιζλέρ,,Πελαγία,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0042208,25.4673521
Παγιαμλάρ,,Πλαγιά,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1323978,25.7205184
Ορτά Κιουλού,,Πόρπη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0178409,25.2352022
Κουγιούν Δερέ,,Πόα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2168776,25.2602729
Σιτσανλή,,Ποντίκια,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Τζιριμπάσκιοϊ,,Πρωτάτον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Χατζηλάρ,,Προσκυνηταί,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Κιζλή Αγάτς,,Ραγάδα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2185648,25.7273195
Ρουμπεϊλη,,Ρηγόπουλον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Γκεμπετζελή,,Ρίζωμα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1535183,25.351362
Σαρσαλή,,Σάλπη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0521382,25.191228
Σαρατζίνα,,Σαρακηνή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.2891593,25.5536799
Σραμανλή,,Σαλμώνη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.005243,25.5351856
Σάπτση,,Σάπαι,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Σεβεντεκλή,,Σεβαστή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Δεμιρτζηλάρ,,Σιδηράδες,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1507807,25.4973856
Μενετλέρ,,Σκάλωμα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1234171,25.6765654
Τσιαρδακλή,,Σκιάδα,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.1593332,25.6150113
Τσαλημπή,,Σμιγάδη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Παρακλή,,Στυλάριον,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,39.0,22.0
Ντολαμπτσιλάρ,,Στροφή,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,41.0937536,25.7894784
Τσαδιρλή,,Στρύμη,,ΘΡΑΚΗ,ΡΟΔΟΠΗΣ,ΚΟΜΟΤΗΝΗΣ (Υποδιοίκηση),Β1/1921 (Παράρτημα/ Τόπος έκδοσης: Αδριανούπολη),,40.9886801,25.542763
